Linux 4.11.3-1-ARCH (jan-laptop) 	23.06.2017 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231181  1000         0     31706    5,00    2,00    0,00    7,00     0   7197,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31707    5,33    0,00    0,00    5,33     0      8,33      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31708    7,33    0,00    0,00    7,33     1      0,67      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31709    0,67    0,00    0,00    0,67     1    460,67      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31710    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31711    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31712    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31713    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31714    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31715    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31716    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31717    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231184  1000     31702         0   98,00    1,00    0,00   99,00     1   3947,00      0,00 4281796  750540   9,84     136      36      0,00      0,00      0,00       0  java
 1498231184  1000         0     31702    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  751860   9,86     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31704   98,00    1,00    0,00   99,00     2   4173,00      0,00 4281796  753180   9,87     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31705    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  754500   9,89     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31706    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  755820   9,91     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31707    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  757140   9,93     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31708    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  758460   9,94     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31709    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  760044   9,96     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31710    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  761364   9,98     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31711    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  762684  10,00     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31712    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  764004  10,02     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31713    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  765324  10,03     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31714    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  766644  10,05     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31715    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  767964  10,07     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31716    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  769284  10,08     136      36      0,00      0,00      0,00       0  |__java
 1498231184  1000         0     31717    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  770604  10,10     136      36      0,00      0,00      0,00       0  |__java

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231187  1000     31702         0   98,33    1,67    0,00  100,00     1   7401,00      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  java
 1498231187  1000         0     31702    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
 1498231187  1000         0     31704   98,00    1,67    0,00   99,67     2   7173,67      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
 1498231187  1000         0     31705    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
 1498231187  1000         0     31706    0,00    0,00    0,00    0,00     3      0,00      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
 1498231187  1000         0     31707    0,00    0,00    0,00    0,00     0      0,33      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
 1498231187  1000         0     31708    0,00    0,00    0,00    0,00     0      1,00      0,00 4281796  839244  11,00     136      36      0,00      0,00      0,00       0  |__java
